,name,y,x,z,,,,,,,,,,h,dx,dy,dz,dd,,,,,fix,,,time,,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,p
12,pt11,878146.8684,2107408.7261,125.2372," 52:36:27.34575"," 41:26:36.55844",133.5138,,,,,,,2.0922,0.0065,0.0117,0.0134,0.0012,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:33:46.0,2022-02-02 09:33:48.0,2022-02-02 06:33:46.0,2022-02-02 06:33:48.0,кромка,3.0,43,34,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 03:11:24"," 272:48:00.00"," 03:11:24"," 00:00:00"," 92:48:00.00"," 52:36:27.34577"," 41:26:36.55844",125.2372,18536.0775," 350:59:38.50831",0.0000,,,,,,,0:0:2
13,pt12,878146.7234,2107406.3245,125.0940," 52:36:27.34102"," 41:26:36.43082",133.3706,,,,,,,2.0922,0.0018,0.0070,0.0072,0.0014,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:34:18.0,2022-02-02 09:34:20.0,2022-02-02 06:34:18.0,2022-02-02 06:34:20.0,бровка,2.0,42,33,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 03:04:28"," 292:35:28.89"," 03:02:24"," -00:27:36"," 121:12:00.00"," 52:36:27.34103"," 41:26:36.43082",125.0940,18535.8455," 351:00:05.15685",0.0000,,,,,,,0:0:2
14,pt13,878146.8262,2107398.6944,123.4384," 52:36:27.34421"," 41:26:36.02535",131.7150,,,,,,,2.0922,0.0023,0.0005,0.0023,0.0011,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:35:00.0,2022-02-02 09:35:02.0,2022-02-02 06:35:00.0,2022-02-02 06:35:02.0,подошва,2.0,41,33,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:37:28"," 115:18:58.76"," 00:16:48"," 01:36:00"," 215:14:24.00"," 52:36:27.34422"," 41:26:36.02535",123.4384,18534.5585," 351:01:28.84897",0.0000,,,,,,,0:0:2
15,pt14,878146.9167,2107395.9190,123.2789," 52:36:27.34709"," 41:26:35.87786",131.5555,,,,,,,2.0922,0.0020,0.0008,0.0021,0.0008,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:35:15.0,2022-02-02 09:35:17.0,2022-02-02 06:35:15.0,2022-02-02 06:35:17.0,рельеф,3.0,42,33,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:54:40"," 230:55:54.15"," -02:53:24"," 00:21:00"," 237:50:24.00"," 52:36:27.34710"," 41:26:35.87786",123.2789,18534.0369," 351:01:59.20198",0.0000,,,,,,,0:0:2
16,pt15,878147.1067,2107379.2259,123.3711," 52:36:27.35293"," 41:26:34.99077",131.6477,,,,,,,2.0922,0.0081,0.0019,0.0083,0.0027,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:35:41.0,2022-02-02 09:35:43.0,2022-02-02 06:35:41.0,2022-02-02 06:35:43.0,рельеф,2.0,42,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 03:17:41"," 118:48:18.34"," 02:03:00"," 02:34:48"," 247:15:00.00"," 52:36:27.35295"," 41:26:34.99077",123.3711,18531.2544," 351:05:02.41287",0.0000,,,,,,,0:0:2
17,pt16,878148.3319,2107372.4025,123.1729," 52:36:27.39245"," 41:26:34.62814",131.4495,,,,,,,2.0922,0.0037,0.0078,0.0086,0.0013,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:35:55.0,2022-02-02 09:35:57.0,2022-02-02 06:35:55.0,2022-02-02 06:35:57.0,рельеф,5.0,41,32,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:15:06"," 193:02:43.88"," -00:52:12"," 00:54:00"," 239:01:12.00"," 52:36:27.39246"," 41:26:34.62814",123.1729,18528.9884," 351:06:15.34191",0.0000,,,,,,,0:0:2
18,pt17,878154.2485,2107363.3099,123.0793," 52:36:27.58369"," 41:26:34.14477",131.3559,,,,,,,2.0922,0.0037,0.0009,0.0039,0.0010,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:36:57.0,2022-02-02 09:36:59.0,2022-02-02 06:36:57.0,2022-02-02 06:36:59.0,опдер 3-10 70,2.0,40,31,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 07:40:30"," 307:33:05.08"," -06:51:36"," -03:27:00"," 280:46:12.00"," 52:36:27.58370"," 41:26:34.14477",123.0793,18521.7390," 351:07:45.19665",0.0000,,,,,,,0:0:2
19,pt18,878122.7830,2107408.3049,125.0467," 52:36:26.56656"," 41:26:36.53677",133.3233,,,,,,,2.0922,0.0100,0.0085,0.0132,0.0007,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:39:08.0,2022-02-02 09:39:10.0,2022-02-02 06:39:08.0,2022-02-02 06:39:10.0,кромка,4.0,40,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:39:50"," 316:29:38.51"," 01:19:48"," 01:00:00"," 99:33:00.00"," 52:36:26.56657"," 41:26:36.53677",125.0467,18559.8014," 351:00:25.03430",0.0000,,,,,,,0:0:2
20,pt19,878122.0437,2107412.2983,125.1065," 52:36:26.54272"," 41:26:36.74900",133.3831,,,,,,,2.0922,0.0066,0.0144,0.0158,0.0022,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:39:21.0,2022-02-02 09:39:23.0,2022-02-02 06:39:21.0,2022-02-02 06:39:23.0,ось,2.0,40,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:16:29"," 267:59:31.73"," 01:09:00"," 00:33:00"," 62:25:48.00"," 52:36:26.54273"," 41:26:36.74900",125.1065,18561.1560," 350:59:42.48413",0.0000,,,,,,,0:0:2
21,pt20,878121.2870,2107416.4275,125.0302," 52:36:26.51831"," 41:26:36.96845",133.3068,,,,,,,2.0922,0.0081,0.0012,0.0082,0.0016,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:39:34.0,2022-02-02 09:39:36.0,2022-02-02 06:39:34.0,2022-02-02 06:39:36.0,кромка,1.0,40,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 00:38:13"," 230:59:38.54"," 00:35:24"," -00:14:24"," 73:07:48.00"," 52:36:26.51832"," 41:26:36.96845",125.0302,18562.5504," 350:58:58.48153",0.0000,,,,,,,0:0:2
22,pt21,878120.7163,2107419.1079,124.7561," 52:36:26.49990"," 41:26:37.11091",133.0327,,,,,,,2.0922,0.0038,0.0028,0.0047,0.0070,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:39:53.0,2022-02-02 09:39:55.0,2022-02-02 06:39:53.0,2022-02-02 06:39:55.0,бровка,2.0,40,32,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:13:47"," 237:18:20.83"," 01:03:00"," 00:38:24"," 25:56:24.00"," 52:36:26.49991"," 41:26:37.11091",124.7561,18563.5354," 350:58:30.05923",0.0000,,,,,,,0:0:2
23,pt22,878080.3635,2107417.3893,124.6846," 52:36:25.19441"," 41:26:37.02076",132.9612,,,,,,,2.0922,0.0013,0.0024,0.0027,0.0025,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:41:18.0,2022-02-02 09:41:20.0,2022-02-02 06:41:18.0,2022-02-02 06:41:20.0,барогр нач,2.0,41,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:13:17"," 94:58:06.92"," -01:55:48"," -01:06:00"," 65:16:48.00"," 52:36:25.19442"," 41:26:37.02076",124.6846,18603.1213," 350:59:59.06648",0.0000,,,,,,,0:0:2
24,pt23,878079.7514,2107419.0681,124.5657," 52:36:25.17464"," 41:26:37.10999",132.8423,,,,,,,2.0922,0.0005,0.0010,0.0011,0.0033,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:42:10.0,2022-02-02 09:42:12.0,2022-02-02 06:42:10.0,2022-02-02 06:42:12.0,бровка,2.0,41,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:12:52"," 54:50:20.81"," 00:23:24"," 01:09:00"," 163:34:12.00"," 52:36:25.17465"," 41:26:37.10999",124.5657,18603.9891," 350:59:41.74322",0.0000,,,,,,,0:0:2
25,pt24,878070.5651,2107416.4377,124.7638," 52:36:24.87741"," 41:26:36.97048",133.0404,,,,,,,2.0922,0.0012,0.0006,0.0013,0.0019,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:42:50.0,2022-02-02 09:42:52.0,2022-02-02 06:42:50.0,2022-02-02 06:42:52.0,барогр,2.0,41,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 04:19:27"," 55:42:25.28"," -04:18:36"," -00:21:00"," 51:03:36.00"," 52:36:24.87742"," 41:26:36.97048",124.7637,18612.6501," 351:00:26.46963",0.0000,,,,,,,0:0:2
26,pt25,878060.4909,2107416.1650,124.7180," 52:36:24.55149"," 41:26:36.95628",132.9946,,,,,,,2.0922,0.0014,0.0068,0.0069,0.0053,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:43:13.0,2022-02-02 09:43:15.0,2022-02-02 06:43:13.0,2022-02-02 06:43:15.0,барогр,2.0,41,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:49:34"," 18:35:00.62"," -02:37:12"," 01:03:36"," 40:37:12.00"," 52:36:24.55151"," 41:26:36.95628",124.7180,18622.5582," 351:00:46.89545",0.0000,,,,,,,0:0:2
27,pt26,878044.8967,2107416.2860,124.6902," 52:36:24.04701"," 41:26:36.96317",132.9668,,,,,,,2.0922,0.0016,0.0027,0.0031,0.0008,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:44:36.0,2022-02-02 09:44:38.0,2022-02-02 06:44:36.0,2022-02-02 06:44:38.0,барогр нач,1.0,40,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 03:14:07"," 295:04:49.35"," -03:03:00"," 01:04:48"," 314:35:24.00"," 52:36:24.04702"," 41:26:36.96317",124.6902,18637.9801," 351:01:12.53202",0.0000,,,,,,,0:0:2
28,pt27,878045.3552,2107418.7910,124.3092," 52:36:24.06189"," 41:26:37.09627",132.5858,,,,,,,2.0922,0.0012,0.0005,0.0013,0.0004,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:45:32.0,2022-02-02 09:45:34.0,2022-02-02 06:45:32.0,2022-02-02 06:45:34.0,бровка,1.0,41,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:12:46"," 214:34:19.50"," -00:04:48"," 01:12:36"," 300:47:24.00"," 52:36:24.06190"," 41:26:37.09627",124.3092,18637.9199," 351:00:44.35630",0.0000,,,,,,,0:0:2
29,pt28,878045.7879,2107425.8818,123.0450," 52:36:24.07452"," 41:26:37.47307",131.3216,,,,,,,2.0922,0.0011,0.0014,0.0018,0.0014,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:45:59.0,2022-02-02 09:46:01.0,2022-02-02 06:45:59.0,2022-02-02 06:46:01.0,подошва,3.0,40,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:40:08"," 304:27:46.21"," -01:09:36"," 01:12:00"," 350:26:24.00"," 52:36:24.07453"," 41:26:37.47307",123.0450,18638.6521," 350:59:26.17781",0.0000,,,,,,,0:0:2
30,pt29,878064.3828,2107415.3713,124.7627," 52:36:24.67739"," 41:26:36.91400",133.0393,,,,,,,2.0922,0.0155,0.0054,0.0165,0.0015,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:47:19.0,2022-02-02 09:47:21.0,2022-02-02 06:47:19.0,2022-02-02 06:47:21.0,кромка,2.0,41,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 04:36:51"," 163:36:57.06"," 02:31:48"," 03:51:36"," 286:48:36.00"," 52:36:24.67740"," 41:26:36.91400",124.7627,18618.5899," 351:00:48.84484",0.0000,,,,,,,0:0:2
31,pt30,878064.9830,2107411.3157,124.8238," 52:36:24.69673"," 41:26:36.69846",133.1004,,,,,,,2.0922,0.0066,0.0012,0.0067,0.0021,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:47:31.0,2022-02-02 09:47:33.0,2022-02-02 06:47:31.0,2022-02-02 06:47:33.0,ось,2.0,41,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 00:51:44"," 91:28:06.35"," 00:31:48"," 00:40:48"," 219:24:00.00"," 52:36:24.69674"," 41:26:36.69846",124.8238,18617.3637," 351:01:32.18965",0.0000,,,,,,,0:0:2
32,pt31,878065.3596,2107407.3868,124.7522," 52:36:24.70884"," 41:26:36.48967",133.0288,,,,,,,2.0922,0.0048,0.0027,0.0055,0.0015,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:47:49.0,2022-02-02 09:47:51.0,2022-02-02 06:47:49.0,2022-02-02 06:47:51.0,кромка,2.0,41,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 00:38:11"," 259:28:11.03"," -00:37:48"," 00:05:24"," 267:36:00.00"," 52:36:24.70886"," 41:26:36.48967",124.7522,18616.3795," 351:02:14.53813",0.0000,,,,,,,0:0:2
33,pt32,878083.6302,2107406.1503,124.7688," 52:36:25.29989"," 41:26:36.42343",133.0454,,,,,,,2.0922,0.0004,0.0020,0.0020,0.0013,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:48:25.0,2022-02-02 09:48:27.0,2022-02-02 06:48:25.0,2022-02-02 06:48:27.0,барогр нач,2.0,41,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 04:54:25"," 143:17:31.90"," -04:44:24"," 01:16:12"," 158:18:36.00"," 52:36:25.29990"," 41:26:36.42343",124.7688,18598.1393," 351:01:56.51522",0.0000,,,,,,,0:0:2
34,pt33,878069.8726,2107406.4226,124.7365," 52:36:24.85483"," 41:26:36.43830",133.0131,,,,,,,2.0922,0.0039,0.0047,0.0061,0.0036,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:48:48.0,2022-02-02 09:48:50.0,2022-02-02 06:48:48.0,2022-02-02 06:48:50.0,барогр,2.0,42,32,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 03:16:49"," 117:50:56.67"," -03:16:48"," -00:02:24"," 117:09:00.00"," 52:36:24.85484"," 41:26:36.43830",124.7365,18611.7714," 351:02:17.30186",0.0000,,,,,,,0:0:2
35,pt34,878057.7451,2107405.9760,124.6759," 52:36:24.46248"," 41:26:36.41493",132.9525,,,,,,,2.0922,0.0013,0.0018,0.0022,0.0004,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:49:09.0,2022-02-02 09:49:11.0,2022-02-02 06:49:09.0,2022-02-02 06:49:11.0,барогр,3.0,42,33,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:38:02"," 288:58:26.34"," -01:10:12"," -02:21:36"," 225:19:48.00"," 52:36:24.46249"," 41:26:36.41493",124.6759,18623.6818," 351:02:43.11132",0.0000,,,,,,,0:0:2
36,pt35,878047.4569,2107405.3830,124.6060," 52:36:24.12964"," 41:26:36.38372",132.8826,,,,,,,2.0922,0.0014,0.0004,0.0014,0.0020,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:50:15.0,2022-02-02 09:50:17.0,2022-02-02 06:50:15.0,2022-02-02 06:50:17.0,барогр нач,2.0,42,33,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:24:03"," 49:48:15.80"," 01:24:00"," -00:03:00"," 231:51:00.00"," 52:36:24.12965"," 41:26:36.38372",124.6060,18633.7527," 351:03:07.32314",0.0000,,,,,,,0:0:2
37,pt36,878087.1330,2107403.6947,124.3371," 52:36:23.92502"," 41:26:36.29419",132.6137,,,,,,,2.0922,0.0008,0.0014,0.0016,0.0022,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:51:12.0,2022-02-02 09:51:14.0,2022-02-02 06:51:12.0,2022-02-02 06:51:14.0,бровка,2.0,42,33,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 03:13:27"," 202:22:36.23"," -02:15:00"," -02:18:36"," 156:36:00.00"," 52:36:23.92504"," 41:26:36.29419",124.3371,18639.7383," 351:03:36.66353",0.0000,,,,,,,0:0:2
38,pt37,878019.1993,2107406.3805,124.7422," 52:36:23.21550"," 41:26:36.43756",133.0188,,,,,,,2.0922,0.0137,0.0047,0.0145,0.0010,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:51:50.0,2022-02-02 09:51:52.0,2022-02-02 06:51:50.0,2022-02-02 06:51:52.0,кромка,3.0,40,33,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 00:16:13"," 179:59:26.98"," 00:10:12"," -00:12:36"," 51:00:00.00"," 52:36:23.21551"," 41:26:36.43756",124.7422,18661.8215," 351:03:45.01192",0.0000,,,,,,,0:0:2
39,pt38,878018.6666,2107410.3560,124.8036," 52:36:23.19834"," 41:26:36.64882",133.0802,,,,,,,2.0922,0.0037,0.0033,0.0050,0.0035,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:52:00.0,2022-02-02 09:52:02.0,2022-02-02 06:52:00.0,2022-02-02 06:52:02.0,ось,2.0,40,33,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:40:31"," 314:10:42.88"," 00:37:48"," 02:36:00"," 57:47:24.00"," 52:36:23.19835"," 41:26:36.64882",124.8036,18662.9655," 351:03:02.52113",0.0000,,,,,,,0:0:2
40,pt39,878018.5797,2107414.6434,124.7558," 52:36:23.19560"," 41:26:36.87666",133.0324,,,,,,,2.0922,0.0013,0.0115,0.0115,0.0015,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:52:16.0,2022-02-02 09:52:18.0,2022-02-02 06:52:16.0,2022-02-02 06:52:18.0,кромка,3.0,40,33,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 03:17:47"," 85:28:34.95"," 01:55:12"," 02:40:48"," 211:04:12.00"," 52:36:23.19561"," 41:26:36.87666",124.7557,18663.7190," 351:02:15.86231",0.0000,,,,,,,0:0:2
41,pt40,878017.5620,2107416.9611,124.6086," 52:36:23.16272"," 41:26:36.99985",132.8852,,,,,,,2.0922,0.0059,0.0032,0.0067,0.0085,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:52:43.0,2022-02-02 09:52:45.0,2022-02-02 06:52:43.0,2022-02-02 06:52:45.0,бровка,2.0,40,33,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:57:24"," 38:59:08.73"," 00:55:12"," 02:48:36"," 147:06:00.00"," 52:36:23.16273"," 41:26:36.99985",124.6086,18665.0860," 351:01:52.31464",0.0000,,,,,,,0:0:2
